ObjectId,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_
4857,2019/03/14 12:04:54+00,32.06,33.15,33.06,32.83,23.58,13.5,11.68,57,54,1010.52,Chapel Hill Public Library,outside,35.932522,-79.035728,30191
4858,2019/03/14 13:04:54+00,30.78,33.09,33.33,33.15,24.74,14.11,11.78,63,50,1010.91,Chapel Hill Public Library,outside,35.932522,-79.035728,33791
4859,2019/03/14 14:03:31+00,9.3,11.79,20.57,25.62,24.05,14.19,11.8,67,50,1010.65,Chapel Hill Public Library,outside,35.932522,-79.035728,1890
4860,2019/03/14 15:04:05+00,5.4,6.39,12.53,19.14,22.89,14.06,11.79,72,44,1010.19,Chapel Hill Public Library,outside,35.932522,-79.035728,3330
4861,2019/03/14 16:04:17+00,3.54,4.35,7.25,13.19,21.38,13.86,11.77,75,42,1009.69,Chapel Hill Public Library,outside,35.932522,-79.035728,2570
4862,2019/03/14 17:04:52+00,3.74,4.1,4.88,8.57,19.45,13.57,11.73,81,35,1008.69,Chapel Hill Public Library,outside,35.932522,-79.035728,200
4863,2019/03/14 18:04:21+00,5.82,7,6.82,8.05,18.19,13.41,11.72,82,33,1007.47,Chapel Hill Public Library,outside,35.932522,-79.035728,460
4864,2019/03/14 19:30:19+00,5.34,5.93,6.31,7.31,17.34,13.27,11.7,83,32,1006.39,Chapel Hill Public Library,outside,35.932522,-79.035728,2140
4865,2019/03/14 19:47:53+00,4.62,5.16,5.9,6.96,17.04,13.22,11.7,81,32,1005.92,Chapel Hill Public Library,outside,35.932522,-79.035728,3200
4866,2019/03/14 20:04:23+00,5.18,4.6,5.38,6.48,16.62,13.15,11.69,82,33,1005.82,Chapel Hill Public Library,outside,35.932522,-79.035728,4190
4867,2019/03/14 21:03:53+00,5.38,5.4,5.23,5.85,15.51,12.95,11.66,82,33,1005.65,Chapel Hill Public Library,outside,35.932522,-79.035728,3500
4868,2019/03/14 22:03:28+00,7.07,6.87,6.42,6.3,14.54,12.77,11.64,80,36,1005.31,Chapel Hill Public Library,outside,35.932522,-79.035728,2466
4869,2019/03/14 23:04:19+00,8.76,8.2,7.3,6.87,13.82,12.63,11.63,79,38,1005.05,Chapel Hill Public Library,outside,35.932522,-79.035728,6138
4870,2019/03/15 00:04:32+00,7.49,8.72,9.59,8.96,13.54,12.59,11.63,77,41,1005.54,Chapel Hill Public Library,outside,35.932522,-79.035728,750
4871,2019/03/15 01:04:22+00,8.11,8.6,8.83,8.71,13.13,12.51,11.62,75,43,1006.29,Chapel Hill Public Library,outside,35.932522,-79.035728,2590
4872,2019/03/15 02:04:22+00,14.44,13.4,11.34,10.24,12.91,12.46,11.61,73,46,1006.13,Chapel Hill Public Library,outside,35.932522,-79.035728,6190
4873,2019/03/15 03:04:22+00,16.41,16.56,15.07,13.23,13.24,12.56,11.63,71,52,1006.18,Chapel Hill Public Library,outside,35.932522,-79.035728,9790
4874,2019/03/15 04:04:22+00,14.42,14.91,15.17,14.32,13.48,12.65,11.65,70,56,1005.9,Chapel Hill Public Library,outside,35.932522,-79.035728,13390
4875,2019/03/15 05:04:22+00,11.27,11.24,12.54,13.08,13.33,12.63,11.65,70,57,1005.24,Chapel Hill Public Library,outside,35.932522,-79.035728,16990
4876,2019/03/15 06:04:22+00,8.76,8.67,9.68,10.91,12.83,12.52,11.64,70,57,1004.91,Chapel Hill Public Library,outside,35.932522,-79.035728,20591
4877,2019/03/15 07:04:23+00,7.59,7.24,7.98,9.17,12.23,12.38,11.62,69,59,1004.04,Chapel Hill Public Library,outside,35.932522,-79.035728,24191
